Register,PassiveType,Aux,PP
Written,BE-pp,being,applied
Written,BE-pp,is,applied
Written,BE-pp,is,applied
Written,BE-pp,is,applied
Written,BE-pp,is,applied
Written,BE-pp,was,appointed
Written,BE-pp,been,appointed
Written,BE-pp,been,appointed
Written,BE-pp,was,appointed
Written,BE-pp,been,appointed
Written,BE-pp,was,appointed
Written,BE-pp,been,appointed
Written,BE-pp,be,appointed
Written,BE-pp,been,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,been,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,be,appointed
Written,BE-pp,been,appointed
Written,BE-pp,been,appointed
Written,BE-pp,been,appointed
Written,BE-pp,be,appointed
Written,BE-pp,being,appointed
Written,BE-pp,was,appointed
Written,BE-pp,been,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,be,appointed
Written,BE-pp,is,appointed
Written,BE-pp,was,appointed
Written,BE-pp,be,appointed
Written,BE-pp,been,appointed
Written,BE-pp,been,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,been,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,was,appointed
Written,BE-pp,be,appraised
Written,BE-pp,were,appreciated
Written,BE-pp,is,appreciated
Written,BE-pp,was,apprehended
Written,BE-pp,being,apprehended
Written,BE-pp,being,apprehended
Written,BE-pp,was,apprehended
Written,BE-pp,been,apprehended
Written,BE-pp,was,approached
Written,BE-pp,are,approached
Written,BE-pp,been,approached
Written,BE-pp,been,approached
Written,BE-pp,was,approached
Written,BE-pp,was,approached
Written,BE-pp,was,approached
Written,BE-pp,was,approached
Written,BE-pp,be,approached
Written,BE-pp,been,approached
Written,BE-pp,was,approached
Written,BE-pp,been,approached
Written,BE-pp,is,approved
Written,BE-pp,were,approved
Written,BE-pp,are,approved
Written,BE-pp,been,approved
Written,BE-pp,was,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,been,approved
Written,BE-pp,was,approved
