Register,PassiveType,Aux,PP,Sentiment
Written,BE-pp,been,allocated,0.0
Written,BE-pp,be,allocated,0.0
Written,BE-pp,was,alloted,0.0
Written,BE-pp,were,allotted,0.0
Written,BE-pp,was,allotted,0.0
Written,BE-pp,be,allotted,0.0
Written,BE-pp,been,allotted,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,was,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,was,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,been,allowed,0.0
Written,BE-pp,was,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,been,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,is,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,been,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,are,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,were,allowed,0.0
Written,BE-pp,being,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,be,allowed,0.0
Written,BE-pp,are,already,0.0
Written,BE-pp,was,already,0.0
Written,BE-pp,is,limited,-0.2263
Written,BE-pp,was,attended,0.0
Written,BE-pp,was,informed,0.0
Written,BE-pp,was,arrested,-0.4767
Written,BE-pp,was,altered,0.0
Written,BE-pp,were,amalgamated,0.0
Written,BE-pp,were,amalgamated,0.0
Written,BE-pp,been,amazed,0.4939
Written,BE-pp,'s,amazed,0.4939
Written,BE-pp,was,amazed,0.4939
Written,BE-pp,was,amazed,0.4939
Written,BE-pp,been,amazed,0.4939
Written,BE-pp,were,amazed,0.4939
Written,BE-pp,been,amazed,0.4939
Written,BE-pp,were,ambushed,0.0
Written,BE-pp,was,amended,0.0
Written,BE-pp,be,amended,0.0
Written,BE-pp,was,amplified,0.0
Written,BE-pp,were,amputated,0.0
Written,BE-pp,be,analysed,0.0
Written,BE-pp,is,analysed,0.0
Written,BE-pp,is,analysed,0.0
Written,BE-pp,been,analysed,0.0
Written,BE-pp,were,anchored,0.0
Written,BE-pp,was,anchored,0.0
Written,BE-pp,be,anchored,0.0
Written,BE-pp,been,angered,-0.5106
Written,BE-pp,are,angled,0.0
Written,BE-pp,are,angled,0.0
Written,BE-pp,is,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,been,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,been,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,been,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,are,announced,0.0
Written,BE-pp,being,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,being,announced,0.0
Written,BE-pp,being,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,been,announced,0.0
Written,BE-pp,be,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,been,announced,0.0
Written,BE-pp,were,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,announced,0.0
Written,BE-pp,was,annoyed,-0.3818
Written,BE-pp,be,annoyed,-0.3818
Written,BE-pp,been,annulled,0.0
Written,BE-pp,Be,Annulled,0.0
Written,BE-pp,been,anointed,0.0
Written,BE-pp,is,answered,0.0
Written,BE-pp,be,answered,0.0
Written,BE-pp,be,answered,0.0
Written,BE-pp,be,answered,0.0
Written,BE-pp,be,answered,0.0
Written,BE-pp,is,anticipated,0.0
Written,BE-pp,was,anticipated,0.0
Written,BE-pp,is,anticipated,0.0
Written,BE-pp,are,anticipated,0.0
Written,BE-pp,is,anticipated,0.0
Written,BE-pp,is,anticipated,0.0
Written,BE-pp,are,antiquated,0.0
Written,BE-pp,were,appalled,-0.4588
Written,BE-pp,were,appalled,-0.4588
Written,BE-pp,was,appalled,-0.4588
Written,BE-pp,was,applauded,0.3612
Written,BE-pp,be,applauded,0.3612
Written,BE-pp,being,applied,0.0
Written,BE-pp,be,applied,0.0
Written,BE-pp,being,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,be,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,being,applied,0.0
Written,BE-pp,being,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,is,applied,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,be,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,be,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,be,appointed,0.0
Written,BE-pp,being,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,be,appointed,0.0
Written,BE-pp,is,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,be,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,been,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,was,appointed,0.0
Written,BE-pp,be,appraised,0.0
Written,BE-pp,were,appreciated,0.5106
Written,BE-pp,is,appreciated,0.5106
Written,BE-pp,was,apprehended,0.0
Written,BE-pp,being,apprehended,0.0
Written,BE-pp,being,apprehended,0.0
Written,BE-pp,was,apprehended,0.0
Written,BE-pp,been,apprehended,0.0
Written,BE-pp,was,approached,0.0
Written,BE-pp,are,approached,0.0
Written,BE-pp,been,approached,0.0
Written,BE-pp,been,approached,0.0
Written,BE-pp,was,approached,0.0
Written,BE-pp,was,approached,0.0
